,bio_func_names
212,apolipoprotein binding
213,arachidonic acid epoxygenase activity
214,armadillo repeat domain binding
215,aromatase activity
216,aryl sulfotransferase activity
217,arylsulfatase activity
218,aspartic-type endopeptidase activity
219,bHLH transcription factor binding
220,beta-2-microglobulin binding
221,beta-catenin binding
222,beta-tubulin binding
223,bicarbonate transmembrane transporter activity
224,bile acid transmembrane transporter activity
225,bitter taste receptor activity
226,cAMP binding
227,cAMP response element binding
228,cGMP binding
229,cadherin binding
230,cadherin binding involved in cell-cell adhesion
231,calcium activated cation channel activity
232,calcium channel activity
233,calcium channel inhibitor activity
234,calcium channel regulator activity
235,calcium ion binding
236,calcium-activated potassium channel activity
237,calcium-dependent cysteine-type endopeptidase activity
238,calcium-dependent phospholipase A2 activity
239,calcium-dependent phospholipid binding
240,calcium-dependent protein binding
241,calcium-release channel activity
242,calcium-transporting ATPase activity
243,calmodulin binding
244,calmodulin-dependent protein kinase activity
245,carbohydrate binding
246,carbonate dehydratase activity
247,carboxylic ester hydrolase activity
248,carboxypeptidase activity
249,caspase binding
250,catalytic activity
251,cation channel activity
252,cell adhesion molecule binding
253,cell-cell adhesion mediator activity
254,channel activity
255,chaperone binding
256,chemoattractant activity
257,chemokine activity
258,chemokine binding
259,chemokine receptor activity
260,chemorepellent activity
261,chloride channel activity
262,chloride channel inhibitor activity
263,chloride ion binding
264,chloride transmembrane transporter activity
265,cholesterol binding
266,cholesterol transporter activity
267,chromatin DNA binding
268,chromatin binding
269,class I DNA-(apurinic or apyrimidinic site) endonuclease activity
270,clathrin binding
271,co-SMAD binding
272,co-receptor binding
273,cobalamin binding
274,coenzyme binding
275,cofactor binding
276,collagen binding
277,copper ion binding
278,core promoter binding
279,coreceptor activity
280,cullin family protein binding
281,cyclin binding
282,cyclin-dependent protein serine/threonine kinase activity
283,cyclin-dependent protein serine/threonine kinase inhibitor activity
284,cyclin-dependent protein serine/threonine kinase regulator activity
285,cyclosporin A binding
286,cysteine-type endopeptidase activator activity involved in apoptotic process
287,cysteine-type endopeptidase activity
288,cysteine-type endopeptidase activity involved in apoptotic process
289,cysteine-type endopeptidase inhibitor activity
290,cysteine-type endopeptidase inhibitor activity involved in apoptotic process
291,cysteine-type peptidase activity
292,cytidine deaminase activity
293,cytochrome-c oxidase activity
294,cytokine activity
295,cytokine binding
296,cytokine receptor activity
297,cytokine receptor binding
298,cytoskeletal adaptor activity
299,cytoskeletal protein binding
300,damaged DNA binding
301,deacetylase activity
302,death receptor binding
303,delayed rectifier potassium channel activity
304,diacylglycerol binding
305,diacylglycerol kinase activity
306,dioxygenase activity
307,dipeptidase activity
308,dipeptidyl-peptidase activity
309,disordered domain specific binding
310,"distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific"
311,"distal enhancer DNA-binding transcription repressor activity, RNA polymerase II-specific"
312,dopamine binding
313,double-stranded DNA binding
314,double-stranded RNA binding
315,drug binding
316,drug transmembrane transporter activity
317,dynactin binding
318,dynein complex binding
319,dynein heavy chain binding
320,dynein intermediate chain binding
321,dynein light chain binding
322,dynein light intermediate chain binding
323,dystroglycan binding
324,electron transfer activity
325,endodeoxyribonuclease activity
326,endonuclease activity
327,endopeptidase activity
328,endopeptidase inhibitor activity
329,endoribonuclease activity
330,enhancer binding
331,enhancer sequence-specific DNA binding
332,enzyme activator activity
333,enzyme binding
334,enzyme inhibitor activity
335,enzyme regulator activity
336,ephrin receptor binding
337,epidermal growth factor receptor binding
338,estradiol 17-beta-dehydrogenase activity
339,estrogen receptor binding
340,eukaryotic initiation factor 4E binding
341,exonuclease activity
342,extracellular matrix binding
343,extracellular matrix structural constituent
344,extracellular matrix structural constituent conferring compression resistance
345,extracellular matrix structural constituent conferring tensile strength
346,fatty acid binding
347,fatty-acyl-CoA binding
348,ferric iron binding
349,ferrous iron binding
350,fibroblast growth factor binding
351,fibroblast growth factor receptor binding
352,fibronectin binding
353,filamin binding
354,flavin adenine dinucleotide binding
355,folic acid binding
356,frizzled binding
357,galactosyltransferase activity
358,galanin receptor activity
359,gamma-catenin binding
360,gamma-tubulin binding
361,gap junction channel activity
362,glucocorticoid receptor binding
363,glucose binding
364,glucose transmembrane transporter activity
365,glucuronosyltransferase activity
366,glutamate binding
367,glutamate receptor activity
368,glutathione binding
369,glutathione peroxidase activity
370,glutathione transferase activity
371,glycine binding
372,glycosaminoglycan binding
373,growth factor activity
374,growth factor binding
375,guanyl-nucleotide exchange factor activity
376,heat shock protein binding
377,helicase activity
378,heme binding
379,heparan sulfate proteoglycan binding
380,heparin binding
381,high voltage-gated calcium channel activity
382,histone acetyltransferase activity
383,histone acetyltransferase binding
384,histone binding
385,histone deacetylase activity
386,histone deacetylase binding
387,histone demethylase activity
388,histone demethylase activity (H3-K9 specific)
389,histone methyltransferase activity
390,histone methyltransferase activity (H3-K4 specific)
391,histone-lysine N-methyltransferase activity
392,hormone activity
393,hormone binding
394,hyaluronic acid binding
395,hydrolase activity
396,"hydrolase activity, acting on ester bonds"
397,identical protein binding
398,immunoglobulin receptor binding
399,inhibitory extracellular ligand-gated ion channel activity
400,inorganic anion exchanger activity
401,"inositol 1,4,5 trisphosphate binding"
402,insulin receptor binding
403,insulin receptor substrate binding
404,insulin-like growth factor binding
405,insulin-like growth factor receptor binding
406,integrin binding
407,interleukin-1 receptor binding
408,intermediate filament binding
409,intracellular calcium activated chloride channel activity
410,inward rectifier potassium channel activity
411,ion channel activity
412,ion channel binding
413,ion transmembrane transporter activity
414,ionotropic glutamate receptor binding
415,iron ion binding
416,isomerase activity
417,kinase activity
418,kinase binding
419,kinesin binding
420,lamin binding
421,laminin binding
422,leucine zipper domain binding
423,ligand-gated ion channel activity
424,ligase activity
425,lipase activity
426,lipid binding
427,lipid phosphatase activity
428,lipid transporter activity
429,lipopolysaccharide binding
430,lipoprotein transporter activity
431,long-chain fatty acid transporter activity
432,long-chain fatty acid-CoA ligase activity
433,low-density lipoprotein particle binding
434,low-density lipoprotein particle receptor activity
435,low-density lipoprotein particle receptor binding
436,lyase activity
437,lysine-acetylated histone binding
438,lysophospholipase activity
439,mRNA 3'-UTR AU-rich region binding
440,mRNA 3'-UTR binding
441,mRNA 5'-UTR binding
442,mRNA binding
443,magnesium ion binding
444,magnesium ion transmembrane transporter activity
445,manganese ion binding
446,mannose binding
447,mannosyltransferase activity
448,mechanosensitive ion channel activity
449,metal ion binding
450,metalloaminopeptidase activity
451,metallocarboxypeptidase activity
452,metalloendopeptidase activity
453,metalloendopeptidase inhibitor activity
454,metalloexopeptidase activity
455,metallopeptidase activity
456,methyl-CpG binding
457,methylated histone binding
458,methyltransferase activity
459,miRNA binding
460,microfilament motor activity
461,microtubule binding
462,microtubule motor activity
463,microtubule plus-end binding
464,misfolded protein binding
465,mitogen-activated protein kinase binding
466,mitogen-activated protein kinase kinase binding
467,mitogen-activated protein kinase kinase kinase binding
468,monocarboxylic acid transmembrane transporter activity
469,monooxygenase activity
470,monosaccharide binding
471,motor activity
472,muscle alpha-actinin binding
473,myosin V binding
474,myosin binding
475,natural killer cell lectin-like receptor binding
476,neurexin family protein binding
477,neuropeptide binding
478,neuropeptide hormone activity
479,neuropeptide receptor activity
480,neuropilin binding
481,neurotransmitter receptor activity
482,neurotransmitter:sodium symporter activity
483,neutral amino acid transmembrane transporter activity
484,nitric-oxide synthase binding
485,non-membrane spanning protein tyrosine kinase activity
486,nuclear hormone receptor binding
487,nuclear import signal receptor activity
488,nuclear localization sequence binding
489,nuclear receptor activity
490,nuclear receptor binding
491,nuclear receptor transcription coactivator activity
492,nuclease activity
493,nucleic acid binding
494,nucleoside diphosphate kinase activity
495,nucleoside kinase activity
496,nucleoside-triphosphatase activity
497,nucleosomal DNA binding
498,nucleosome binding
499,nucleotide binding
500,nucleotidyltransferase activity
501,odorant binding
502,olfactory receptor activity
503,oligosaccharide binding
504,organic acid binding
505,organic anion transmembrane transporter activity
506,outward rectifier potassium channel activity
507,oxalate transmembrane transporter activity
508,oxidoreductase activity
509,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors"
510,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
511,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
512,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
513,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
514,oxygen binding
515,oxygen carrier activity
516,p53 binding
517,palmitoyl-(protein) hydrolase activity
518,palmitoyl-CoA hydrolase activity
519,palmitoyltransferase activity
520,peptidase activator activity
521,peptidase activity
522,peptidase inhibitor activity
523,peptide antigen binding
524,peptide binding
525,peptide hormone binding
526,peptide hormone receptor binding
527,peptidoglycan binding
528,peptidyl-prolyl cis-trans isomerase activity
529,peroxidase activity
530,peroxisome proliferator activated receptor binding
531,phosphatase activity
532,phosphatase binding
533,phosphate ion binding
534,phosphatidate phosphatase activity
535,phosphatidic acid binding
536,phosphatidylcholine binding
537,phosphatidylethanolamine binding
538,phosphatidylinositol 3-kinase binding
539,phosphatidylinositol 3-kinase regulatory subunit binding
540,phosphatidylinositol binding
541,phosphatidylinositol phosphate binding
542,phosphatidylinositol phospholipase C activity
543,"phosphatidylinositol-3,4,5-trisphosphate binding"
544,"phosphatidylinositol-3,4-bisphosphate binding"
545,"phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity"
546,"phosphatidylinositol-3,5-bisphosphate binding"
547,phosphatidylinositol-3-phosphatase activity
548,phosphatidylinositol-3-phosphate binding
549,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"
550,"phosphatidylinositol-4,5-bisphosphate binding"
551,phosphatidylinositol-4-phosphate binding
552,phosphatidylinositol-5-phosphate binding
553,phosphatidylserine binding
554,phospholipase A1 activity
555,phospholipase A2 activity
556,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"
557,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)"
558,phospholipase C activity
559,phospholipase activity
560,phospholipase binding
561,phospholipid binding
562,phospholipid scramblase activity
563,phospholipid transporter activity
564,phospholipid-translocating ATPase activity
565,phosphoprotein binding
566,phosphoprotein phosphatase activity
567,phosphoric diester hydrolase activity
568,phosphotyrosine residue binding
569,platelet-derived growth factor binding
570,platelet-derived growth factor receptor binding
571,poly(A) binding
572,poly(A)-specific ribonuclease activity
573,poly(U) RNA binding
574,polypeptide N-acetylgalactosaminyltransferase activity
575,polysaccharide binding
576,polyubiquitin modification-dependent protein binding
577,potassium channel activity
578,potassium channel regulator activity
579,potassium ion leak channel activity
580,potassium:proton antiporter activity
581,pre-mRNA binding
582,profilin binding
583,proline-rich region binding
584,promoter-specific chromatin binding
585,protease binding
586,proteasome binding
587,protein C-terminus binding
588,protein N-terminus binding
589,protein binding involved in protein folding
590,"protein binding, bridging"
591,protein deacetylase activity
592,protein dimerization activity
593,protein disulfide isomerase activity
594,protein disulfide oxidoreductase activity
595,protein domain specific binding
596,protein heterodimerization activity
597,protein homodimerization activity
598,protein kinase A binding
599,protein kinase A catalytic subunit binding
600,protein kinase A regulatory subunit binding
601,protein kinase B binding
602,protein kinase C activity
603,protein kinase C binding
604,protein kinase activator activity
605,protein kinase activity
606,protein kinase binding
607,protein kinase inhibitor activity
608,protein kinase regulator activity
609,protein membrane anchor
610,protein methyltransferase activity
611,protein phosphatase 1 binding
612,protein phosphatase 2A binding
613,protein phosphatase activator activity
614,protein phosphatase binding
615,protein phosphatase inhibitor activity
616,protein phosphatase regulator activity
617,protein self-association
618,protein serine/threonine kinase activator activity
619,protein serine/threonine kinase activity
620,protein serine/threonine phosphatase activity
621,protein serine/threonine phosphatase inhibitor activity
622,protein serine/threonine/tyrosine kinase activity
623,protein tag
624,protein transmembrane transporter activity
625,protein transporter activity
626,protein tyrosine kinase activator activity
627,protein tyrosine kinase activity
628,protein tyrosine kinase binding
629,protein tyrosine phosphatase activity
630,protein tyrosine/serine/threonine phosphatase activity
631,protein-arginine N-methyltransferase activity
632,protein-containing complex binding
633,protein-containing complex scaffold activity
634,protein-cysteine S-palmitoyltransferase activity
635,protein-lysine N-methyltransferase activity
636,proteoglycan binding
637,proton transmembrane transporter activity
638,"proton-exporting ATPase activity, phosphorylative mechanism"
639,"proton-transporting ATP synthase activity, rotational mechanism"
640,"proton-transporting ATPase activity, rotational mechanism"
641,"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"
642,"proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific"
643,proximal promoter sequence-specific DNA binding
644,pseudouridine synthase activity
645,pyridoxal phosphate binding
646,quinone binding
647,rRNA binding
648,receptor antagonist activity
649,receptor ligand activity
650,receptor signaling complex scaffold activity
651,receptor tyrosine kinase binding
652,repressing transcription factor binding
653,retinal binding
654,retinoic acid binding
655,retinoic acid receptor binding
656,retinoid X receptor binding
657,retinol binding
658,retinol dehydrogenase activity
659,ribonuclease P activity
660,ribonuclease activity
661,ribonucleoprotein complex binding
662,ribosomal large subunit binding
663,ribosomal small subunit binding
664,ribosome binding
665,scaffold protein binding
666,scavenger receptor activity
667,secondary active sulfate transmembrane transporter activity
668,semaphorin receptor activity
669,semaphorin receptor binding
670,sequence-specific DNA binding
671,sequence-specific double-stranded DNA binding
672,sequence-specific mRNA binding
673,serine-type endopeptidase activity
674,serine-type endopeptidase inhibitor activity
675,serine-type peptidase activity
676,serotonin binding
677,sialic acid binding
678,sialyltransferase activity
679,signaling adaptor activity
680,signaling pattern recognition receptor activity
681,signaling receptor activity
682,signaling receptor binding
683,single-stranded DNA binding
684,single-stranded RNA binding
685,small GTPase binding
686,small molecule binding
687,small ribosomal subunit rRNA binding
688,snoRNA binding
689,sodium channel activity
690,sodium channel regulator activity
691,sodium-independent organic anion transmembrane transporter activity
692,sodium:potassium-exchanging ATPase activity
693,sodium:proton antiporter activity
694,spectrin binding
695,steroid binding
696,steroid hormone receptor activity
697,steroid hydroxylase activity
698,sterol binding
699,sterol transporter activity
700,store-operated calcium channel activity
701,structural constituent of cytoskeleton
702,structural constituent of epidermis
703,structural constituent of eye lens
704,structural constituent of muscle
705,structural constituent of myelin sheath
706,structural constituent of nuclear pore
707,structural constituent of ribosome
708,structural molecule activity
709,sulfate transmembrane transporter activity
710,sulfotransferase activity
711,superoxide-generating NADPH oxidase activator activity
712,superoxide-generating NADPH oxidase activity
713,symporter activity
714,syntaxin binding
715,syntaxin-1 binding
716,tRNA binding
717,taste receptor activity
718,tau protein binding
719,tau-protein kinase activity
720,telomerase RNA binding
721,telomeric DNA binding
722,thioesterase binding
723,thiol-dependent ubiquitin-specific protease activity
724,thiol-dependent ubiquitinyl hydrolase activity
725,threonine-type endopeptidase activity
726,thyroid hormone receptor binding
727,titin binding
728,toxic substance binding
729,transcription coactivator activity
730,transcription coactivator binding
731,transcription coregulator activity
732,transcription corepressor activity
733,transcription corepressor binding
734,"transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding"
735,"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding"
736,"transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding"
737,transcription factor binding
738,transcription regulatory region DNA binding
739,transcription regulatory region sequence-specific DNA binding
740,transferase activity
741,"transferase activity, transferring acyl groups"
742,"transferase activity, transferring glycosyl groups"
743,transforming growth factor beta binding
744,transforming growth factor beta receptor binding
745,transforming growth factor beta-activated receptor activity
746,transition metal ion binding
747,translation activator activity
748,translation elongation factor activity
749,"translation factor activity, RNA binding"
750,translation initiation factor activity
751,translation initiation factor binding
752,translation regulator activity
753,translation repressor activity
754,"translation repressor activity, mRNA regulatory element binding"
755,transmembrane receptor protein tyrosine kinase activity
756,transmembrane receptor protein tyrosine kinase adaptor activity
757,transmembrane receptor protein tyrosine phosphatase activity
758,transmembrane signaling receptor activity
759,transmembrane transporter activity
760,transmembrane-ephrin receptor activity
761,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential
762,transporter activity
763,triglyceride lipase activity
764,tropomyosin binding
765,tubulin binding
766,tumor necrosis factor receptor binding
767,type I interferon receptor binding
768,type I transforming growth factor beta receptor binding
769,ubiquitin binding
770,ubiquitin conjugating enzyme activity
771,ubiquitin conjugating enzyme binding
772,ubiquitin protein ligase activity
773,ubiquitin protein ligase binding
774,ubiquitin-like protein ligase binding
775,ubiquitin-protein transferase activity
776,ubiquitin-specific protease binding
777,ubiquitin-ubiquitin ligase activity
778,unfolded protein binding
779,very long-chain fatty acid-CoA ligase activity
780,vinculin binding
781,virion binding
782,virus receptor activity
783,vitamin D receptor binding
784,voltage-gated calcium channel activity
785,voltage-gated chloride channel activity
786,voltage-gated ion channel activity
787,voltage-gated potassium channel activity
788,voltage-gated sodium channel activity
789,water channel activity
790,zinc ion binding
791,zinc ion transmembrane transporter activity
792,2-oxoglutarate metabolic process
793,3'-UTR-mediated mRNA destabilization
794,3'-UTR-mediated mRNA stabilization
795,3'-phosphoadenosine 5'-phosphosulfate metabolic process
796,7-methylguanosine mRNA capping
797,ATP biosynthetic process
798,ATP hydrolysis coupled proton transport
799,ATP metabolic process
800,ATP synthesis coupled proton transport
801,ATP-dependent chromatin remodeling
802,Arp2/3 complex-mediated actin nucleation
803,B cell activation
804,B cell differentiation
805,B cell homeostasis
806,B cell proliferation
807,B cell receptor signaling pathway
808,BMP signaling pathway
809,C21-steroid hormone biosynthetic process
810,CDP-diacylglycerol biosynthetic process
811,CENP-A containing nucleosome assembly
812,COPII vesicle coating
813,CTP biosynthetic process
814,DNA biosynthetic process
815,"DNA catabolic process, endonucleolytic"
816,DNA damage checkpoint
817,"DNA damage response, detection of DNA damage"
818,"DNA damage response, signal transduction by p53 class mediator"
819,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
820,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"
821,DNA dealkylation involved in DNA repair
822,DNA demethylation
823,DNA double-strand break processing
824,DNA duplex unwinding
825,DNA integration
826,DNA metabolic process
827,DNA methylation
828,DNA methylation involved in gamete generation
829,DNA recombination
830,DNA repair
831,DNA replication
832,DNA replication initiation
833,DNA replication-dependent nucleosome assembly
834,DNA replication-independent nucleosome assembly
835,DNA synthesis involved in DNA repair
836,DNA topological change
837,DNA unwinding involved in DNA replication
838,DNA-dependent DNA replication
839,"DNA-templated transcription, initiation"
840,ER overload response
841,ER to Golgi vesicle-mediated transport
842,ER-associated misfolded protein catabolic process
843,ERAD pathway
844,ERBB2 signaling pathway
845,ERK1 and ERK2 cascade
846,ESCRT III complex disassembly
847,Fc-epsilon receptor signaling pathway
848,Fc-gamma receptor signaling pathway involved in phagocytosis
849,G protein-coupled acetylcholine receptor signaling pathway
850,G protein-coupled glutamate receptor signaling pathway
851,G protein-coupled receptor internalization
852,G protein-coupled receptor signaling pathway
853,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"
854,G1/S transition of mitotic cell cycle
855,G2/M transition of mitotic cell cycle
856,GPI anchor biosynthetic process
857,GTP biosynthetic process
858,GTP metabolic process
859,Golgi organization
860,Golgi ribbon formation
861,Golgi to endosome transport
862,Golgi to plasma membrane protein transport
863,Golgi to plasma membrane transport
864,I-kappaB kinase/NF-kappaB signaling
865,I-kappaB phosphorylation
866,IRE1-mediated unfolded protein response
867,IRES-dependent viral translational initiation
868,JAK-STAT cascade
869,JAK-STAT cascade involved in growth hormone signaling pathway
870,JNK cascade
871,L-glutamate transmembrane transport
872,L-phenylalanine catabolic process
873,Leydig cell differentiation
874,MAPK cascade
875,MyD88-dependent toll-like receptor signaling pathway
876,MyD88-independent toll-like receptor signaling pathway
877,N-acetylglucosamine metabolic process
878,N-glycan processing
879,NAD biosynthesis via nicotinamide riboside salvage pathway
880,NAD biosynthetic process
881,NAD metabolic process
882,NIK/NF-kappaB signaling
883,NLS-bearing protein import into nucleus
884,Notch signaling pathway
885,O-glycan processing
886,PERK-mediated unfolded protein response
887,RNA catabolic process
888,RNA export from nucleus
889,RNA metabolic process
890,"RNA phosphodiester bond hydrolysis, endonucleolytic"
891,"RNA phosphodiester bond hydrolysis, exonucleolytic"
892,RNA polymerase II preinitiation complex assembly
893,RNA processing
894,RNA splicing
895,"RNA splicing, via transesterification reactions"
896,Rab protein signal transduction
897,Rac protein signal transduction
898,Rap protein signal transduction
899,Ras protein signal transduction
900,Rho protein signal transduction
901,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
902,SMAD protein signal transduction
903,SRP-dependent cotranslational protein targeting to membrane
904,"SRP-dependent cotranslational protein targeting to membrane, translocation"
905,T cell activation
906,T cell activation involved in immune response
907,T cell chemotaxis
908,T cell costimulation
909,T cell differentiation
910,T cell differentiation in thymus
911,T cell homeostasis
912,T cell mediated cytotoxicity
913,T cell proliferation
914,T cell receptor signaling pathway
915,T-helper 1 type immune response
916,TOR signaling
917,TRIF-dependent toll-like receptor signaling pathway
918,UDP-N-acetylglucosamine biosynthetic process
919,UTP biosynthetic process
920,UV protection
