Protein,Druggability Score ,Total Pocket Number,Score ,Second Highest Druggable Pocket Score,Third Highest Druggable Pocket Score,Number of Alpha Spheres ,Total SASA ,Polar SASA ,Apolar SASA ,Volume ,Mean local hydrophobic density ,Mean alpha sphere radius ,Mean alp. sph. solvent access ,Apolar alpha sphere proportion ,Hydrophobicity score,Volume score,Polarity score,Charge score ,Proportion of polar atoms,Alpha sphere density ,Cent. of mass - Alpha Sphere max dist,Flexibility 
A0A075B6T8,0.375,10,0.031,0.005,0.003,98,279.606,106.915,172.691,1006.969,22.606,4.112,0.466,0.337,20.316,3.737,10,-4,34.545,6.885,21.956,0.955
A0A075B6U4,0.234,7,0.248,0.001,0,91,192.842,72.97,119.872,776.623,29.188,4.075,0.464,0.352,21.889,3.667,7,0,34.043,5.834,14.771,0.978
A0A075B6U6,0.629,3,0.288,0.003,0.001,90,214.094,77.632,136.462,853.818,15.52,3.925,0.466,0.278,27.25,3.75,11,-2,41.509,6.915,18.347,0.938
A0A075B6V2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B6V5,0.352,7,0.274,0.001,0.001,113,224.406,78.283,146.123,881.89,23.824,3.943,0.466,0.301,32.913,3.957,13,-1,38.71,6.993,17.872,0.972
A0A075B6W5,0.554,12,-0.054,0.032,0.029,20,110.521,23.572,86.949,344.313,14,3.888,0.611,0.75,42,4,2,-1,29.412,3.616,8.216,0.133
A0A075B6X5,0.648,5,0.219,0.117,0.009,106,231.734,91.649,140.085,995.815,18.621,4.052,0.506,0.274,32.75,4,10,-3,35.593,6.71,20.541,0.985
A0A075B6Y3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B6Y9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B734,0.965,14,0.564,0.019,0.017,104,140.781,30.333,110.448,658.217,40.545,4.005,0.47,0.529,42.96,4.44,10,4,34.615,6.956,19.086,0.964
A0A075B759,0.272,12,0.027,0.262,0.134,16,86.335,8.572,77.763,196.366,12,4.037,0.698,0.812,1,4.833,4,-1,28.571,1.711,5.431,0.792
A0A075B767,0.093,13,0.215,0.073,0.067,25,83.614,30.399,53.215,283.867,17,4.013,0.545,0.72,44.778,4.889,4,2,31.579,2.293,5.491,0.95
A0A075B7B6,0.596,5,0.258,0.11,0.071,27,72.687,8.682,64.004,348.173,24.074,3.865,0.617,1,97.75,6,1,0,17.391,3.893,8.261,0.035
A0A075B7B8,0.827,6,-0.04,0.058,0.007,64,226.033,44.018,182.015,776.619,39.547,3.892,0.43,0.828,54.118,4.176,6,0,26.829,5.941,13.847,0.681
A0A075B7D0,0.55,7,0.051,0.336,0.21,39,134.61,45.82,88.79,442.658,20.083,3.909,0.523,0.615,40.4,5.8,3,0,29.63,4.266,10.669,0.056
A0A075B7D4,0.305,6,0.152,0.209,0.001,72,227.366,73.997,153.369,845.85,19.091,4.076,0.482,0.306,37.588,3.824,8,-1,35.556,5.906,16.631,0.982
A0A075B7D8,0.537,7,0.244,0.157,0.115,61,150.198,45.134,105.064,437.929,18.32,3.982,0.483,0.41,41.867,4,4,0,37.143,4.241,10.459,0.92
A0A075B7E8,0.436,8,0.289,0.174,0.124,59,134.557,31.117,103.44,459.518,18.381,4.031,0.49,0.356,39.5,4,4,0,37.143,4.064,10.681,0.914
A0A075B7F0,0.901,7,0.282,0.034,0.027,89,201.195,52.656,148.538,688.083,23,3.96,0.489,0.404,40.4,4.1,7,1,36.538,6.561,17.363,0.931
A0A075B7F1,0.615,6,0.099,0.091,0.014,25,95.297,20.424,74.873,314.593,18.9,4.053,0.665,0.8,58.5,4.5,2,0,22.222,3.339,8.239,0.992
A0A087WSX0,0.132,11,0.2,0.047,0.041,107,241.439,106.185,135.254,970.887,22.759,4.016,0.457,0.271,17.19,3.524,12,-3,36.667,6.683,19.258,0.982
A0A087WSY4,0.776,3,0.32,0.544,0.043,67,182.918,44.04,138.877,672.994,11.143,3.961,0.527,0.313,30.444,3.333,7,-2,38.776,6.271,17.383,0.955
A0A087WSY6,0.393,7,0.134,0.012,0.006,126,304.807,97.095,207.712,1114.005,27.192,3.916,0.455,0.413,32.385,4.038,11,0,34.722,7.288,16.831,0.983
A0A087WSZ0,0.316,7,0.312,0.084,0.068,51,122.305,47.432,74.873,402.643,20.818,4.075,0.475,0.431,47.133,4.067,5,-1,36.364,3.693,8.86,0.981
A0A087WSZ9,0.523,8,0.22,0.251,0.066,110,235.82,84.867,150.954,887.283,20.2,4.008,0.472,0.273,35.7,4.25,10,0,37.288,7.025,19.984,0.916
A0A087WT01,0.455,3,0.142,0.016,0.005,138,349.292,118.635,230.657,1331.226,20.048,4.023,0.519,0.304,25.276,3.862,14,-4,41.463,8.922,23.684,0.942
A0A087WT02,0.439,8,0.237,0.085,0.01,84,192.047,77.322,114.725,643.068,20.538,4.07,0.498,0.31,36.353,3.882,6,-2,36.957,5.617,16.446,0.961
A0A087WT03,0.065,5,-0.033,0.056,0.001,21,90.529,10.825,79.703,222.675,18,3.735,0.628,0.905,25.833,5.5,4,1,19.048,3.017,8.18,0.961
A0A087WTH1,0.758,12,0.046,0.136,0.012,71,211.406,17.276,194.13,471.981,58.955,3.747,0.451,0.944,60.333,4,3,0,23.256,4.613,11.179,0.674
A0A087WTH5,0.845,16,0.094,0.734,0.648,35,136.389,8.638,127.751,468.155,18,4.053,0.724,0.657,78.5,5,1,0,24.138,4.676,12,0.977
A0A087WUL8-1,0.123,56,0.012,0.05,0.042,21,72.783,17.232,55.551,225.264,19,4.018,0.621,0.952,47.333,4.333,1,-1,28.571,2.331,5.289,0.344
A0A087WUL8-10,0.526,92,0.013,0.018,0.008,49,139.33,45.709,93.621,340.23,40,3.869,0.475,0.837,30.429,4,3,0,30.769,2.906,9.732,0.402
A0A087WUL8-11,0.542,77,0.342,0.221,0.16,40,173.502,66.023,107.479,576.387,18.348,3.976,0.623,0.575,36.143,4.714,4,0,40.625,6.15,14.726,0.206
A0A087WUL8-12,0.11,101,-0.113,0.034,0.024,49,162.559,71.987,90.572,501.874,36.895,4.101,0.435,0.776,64,5,2,0,26.923,3.124,11.661,0.338
A0A087WUL8-13,0.216,88,0.029,0.103,0.082,44,137.272,55.153,82.119,472.242,19.524,4.004,0.636,0.477,37,4.8,3,1,36.667,4.05,9.264,0.332
A0A087WUL8-14,0.492,71,0.15,0.412,0.191,27,130.168,40.804,89.364,464.898,19.667,3.982,0.6,0.889,8.556,3.778,4,-2,37.037,4.985,10.748,0.436
A0A087WUL8-2,0.157,102,-0.166,0.132,0.098,96,315.482,117.431,198.051,1028.032,26.421,4.05,0.484,0.396,15.222,4.389,10,1,38.596,6.352,17.437,0.635
A0A087WUL8-3,0.137,109,0.05,0.064,0.063,30,114.453,53.121,61.331,380.671,22,3.867,0.602,0.767,32.667,5.667,2,1,31.818,3.62,7.969,0.395
A0A087WUL8-4,0.289,108,0.129,0.018,0.015,56,157.931,70.982,86.949,556.533,34.049,3.849,0.547,0.732,34.583,4.833,7,-2,32.5,5.155,12.695,0.518
A0A087WUL8-5,0.165,98,0.081,0.068,0.04,55,205.873,85.11,120.763,664.059,30.848,3.972,0.481,0.6,43.222,4.111,4,-2,36.364,4.541,12.269,0.454
A0A087WUL8-6,0.825,73,0.138,0.014,0.01,42,148.331,50.513,97.818,535.024,22.222,4.092,0.671,0.643,48.5,4,3,0,28.571,4.65,14.042,0.315
A0A087WUL8-7,0.041,98,0.059,0.027,0.022,75,223.476,96.675,126.801,748.897,32.865,4.039,0.556,0.493,36.714,4,3,-1,35.897,4.854,12.78,0.729
A0A087WUL8-8,0.269,88,0.113,0.123,0.103,19,60.452,9.732,50.72,286.891,16,4.009,0.712,0.895,27,5.5,3,0,16.667,3.371,7.3,0.551
A0A087WUL8-9,0.48,106,0.097,0.46,0.169,65,252.509,128.123,124.386,671.328,19.677,4.017,0.473,0.477,2.462,3.615,6,-2,43.902,6.621,17.391,0.62
A0A087WUM9,0.589,7,0.26,0.003,0.002,39,115.733,21.717,94.017,336.266,30.312,3.856,0.552,0.821,21.375,5.75,6,2,25.806,3.733,7.742,0.5
A0A087WUV0,0.395,45,-0.243,0.271,0.081,22,184.298,34.552,149.746,544.252,18.6,4.192,0.482,0.909,42.571,4,3,1,36.364,4.227,9.156,0.581
A0A087WV53,0.366,16,0.365,0.014,0.005,63,154.481,61.494,92.987,499.082,34.195,3.782,0.402,0.651,-3,4.286,9,1,42.5,5.37,12.123,0.409
A0A087WV62,0.549,7,0.119,0.013,0.004,88,244.476,83.861,160.615,886.507,20.533,4.006,0.513,0.341,29.722,4.333,9,3,34,6.225,15.87,0.961
A0A087WVF3,0.966,38,-0.364,0.518,0.232,148,444.992,104.44,340.551,1491.583,55.16,4.001,0.439,0.547,20,4.333,12,-1,34.94,9.328,25.999,0.721
A0A087WW49,0.176,3,0.296,0.065,0.014,68,156.174,54.733,101.441,630.266,15.043,4.162,0.569,0.338,32,3.5,6,-2,37.209,4.786,12.468,0.981
A0A087WW87,0.363,5,0.008,0.268,0.016,21,82.274,7.5,74.774,311.936,19,4.188,0.701,0.952,28.8,5.2,3,0,15.789,2.537,7.46,0.989
A0A087WWA1,0.268,6,0.322,0.239,0.007,20,91.214,15.133,76.081,321.17,10,3.836,0.681,0.55,24,5.4,2,2,38.889,3.387,8.532,0.699
A0A087WX78,0.339,18,0.401,0.179,0.172,28,90.611,38.683,51.928,427.486,17,4.128,0.649,0.643,30.833,4.833,4,-1,31.818,3.634,9.801,0.615
A0A087WXM9,0.502,16,0.178,0.021,0.019,25,107.51,19.353,88.157,331.548,18,3.882,0.653,0.76,-11,5,3,2,23.529,3.225,7.653,0.264
A0A087WXS9,0.472,39,-0.678,0.096,0.014,303,909.551,245.554,663.997,3170.542,51.756,3.946,0.488,0.594,16.591,3.886,26,1,36.527,12.85,37.183,0.343
A0A087WYE8,0.755,3,0.196,0.093,0.001,100,223.456,65.514,157.942,783.039,17.043,4.044,0.49,0.23,20.4,4.05,11,1,37.931,6.425,18.381,0.962
A0A087WZ39,0.7,7,0.084,0.053,0.016,145,361.751,108.881,252.869,1386.234,24.981,4.017,0.495,0.366,39.333,4.222,11,1,32.5,9.242,26.286,0.936
A0A087X0K7,0.133,11,0.112,0.105,0.087,90,232.747,101.115,131.631,756.05,21.5,4.058,0.457,0.311,21.895,4,9,1,40.426,5.973,15.801,0.953
A0A087X0M5,0.625,6,0.356,0.008,0.003,86,187.512,86.071,101.441,694.182,20.593,3.954,0.472,0.314,30.278,4.333,8,2,42.857,6.693,17.382,0.972
A0A087X179,0.169,35,0.035,0.046,0.039,58,145.42,50.017,95.403,484.847,34.5,3.649,0.41,0.759,22.667,4.833,7,5,31.111,6.057,16.88,0.665
A0A087X1C1,0.396,1,0.384,0,0,17,73.63,19.286,54.343,193.042,13,3.766,0.654,0.824,22.5,4.25,2,-2,35.294,2.566,7.589,0.881
A0A087X1C5,0.973,37,-0.242,0.368,0.012,157,300.282,57.252,243.03,951.766,54.322,3.921,0.442,0.554,42.939,4.121,12,3,38.462,7.186,16.66,0.965
A0A087X1G2,0.859,41,-0.052,0.618,0.219,88,200.273,31.205,169.068,553.521,42.59,3.843,0.446,0.693,22.417,4.583,7,0,30.612,6.029,16.081,0.749
A0A087X1L8,0.636,15,0.13,0.57,0.515,16,83.408,1.071,82.336,307.815,13.467,3.82,0.67,0.938,79,4.2,0,0,23.529,3.541,7.93,0.829
A0A096LNP1,0.203,6,0.105,0.096,0.051,26,90.422,20.38,70.042,327.627,23,3.816,0.421,0.923,49,5.333,4,1,27.778,3.13,7.25,0.659
A0A096LNT9,0.727,12,0.006,0.16,0.054,19,110.293,25.759,84.534,428.02,13.067,4.192,0.597,0.789,56.714,5,2,0,22.222,3.924,10.06,0.489
A0A096LNW5,0.251,12,0.11,0.116,0.04,47,126.573,61.361,65.212,382.802,20,4.054,0.627,0.447,27.6,5,7,3,34.375,3.459,8.437,0.356
A0A096LP01,0.615,9,0.215,0.295,0.013,28,161.005,6.429,154.576,436.295,17.25,3.86,0.701,0.857,60.286,4.143,2,0,22.222,5.37,13.916,0.979
A0A096LP49,0.798,45,-0.534,0.008,0.003,111,407.78,103.458,304.322,1174.624,47.514,4.089,0.464,0.631,35.278,3.611,7,0,36.508,7.368,19.301,0.631
A0A096LP55,0.331,11,0.193,0.111,0.038,17,93.027,20.49,72.537,307.295,14,4.03,0.537,0.882,27.143,3.857,3,1,31.25,2.939,6.84,0.964
A0A096LPG2,0,1,0.377,0,0,29,135.872,97.228,38.644,412.385,2,3.948,0.631,0.138,-22.8,4.4,4,0,60,5.115,12.904,0.303
A0A096LPH7,0.172,6,0.368,0.026,0.002,53,125.565,72.43,53.136,436.926,11.846,3.865,0.452,0.245,26,4.529,9,1,42.424,4.334,8.92,0.854
A0A096LPI5,0.343,10,0.302,0.007,0.006,36,119.495,31.338,88.157,405.397,27,3.976,0.53,0.778,45,4,2,0,30.769,3.621,9.202,0.445
A0A096LPK6,0.638,14,0.087,0.255,0.022,23,87.885,2.143,85.742,284.794,21.652,4.029,0.751,1,60.429,5.571,4,1,8.333,3.336,7.506,0.937
A0A096LPK9,0.761,30,0.007,0.652,0.191,43,152.824,4.286,148.538,440.726,32.41,3.969,0.59,0.907,84.182,5.182,2,0,12.903,4.755,9.669,0.916
A0A0A0MRZ7,0.253,6,0.207,0.232,0.191,38,101.915,45.156,56.759,305.112,15,3.824,0.404,0.421,-2.125,3.375,5,-2,52.381,3.018,6.986,0.539
A0A0A0MRZ8,0.495,4,0.161,0.009,0,63,191.265,64.465,126.801,639.375,23.36,4.028,0.479,0.397,50.875,4.25,5,-1,30,4.872,13.09,0.985
A0A0A0MRZ9,0.027,6,0.018,0.02,0.012,161,375.166,168.662,206.504,1525.551,27.692,4.002,0.505,0.323,7.923,3.769,17,-1,46.25,8.004,22.382,0.983
A0A0A0MS00,0.285,7,0.124,0.046,0.004,49,194.077,68.662,125.415,679.028,16,4.102,0.616,0.388,32.308,3.538,6,0,44.118,4.538,11.963,0.258
A0A0A0MS01,0.217,8,0.166,0.026,0.008,51,160.698,43.974,116.724,481.024,24.846,4.016,0.5,0.51,44.643,4.286,6,-1,30.303,3.802,9.004,0.962
A0A0A0MS02,0.589,8,-0.134,0.013,0.006,155,404.228,149.597,254.631,1307.029,19.455,3.962,0.486,0.284,34.038,4.385,15,2,36.047,8.856,26.011,0.836
A0A0A0MS03,0.706,5,0.13,0.342,0.017,114,266.412,73.191,193.221,1040.112,28.3,3.951,0.504,0.351,40.381,4.429,9,1,31.25,6.732,19.483,0.98
A0A0A0MS04,0.433,7,0.027,0.069,0.035,109,291.302,100.022,191.28,960.267,15.385,3.989,0.462,0.239,37.8,4.15,8,2,35.484,7.146,19.438,0.968
A0A0A0MS05,0.139,3,0.205,0.014,0.001,72,180.986,60.223,120.763,634.463,27.31,3.996,0.473,0.403,39.062,4.188,7,1,37.5,4.781,10.417,0.968
A0A0A0MS06,0.387,10,0.283,0.282,0.002,86,190.911,69.91,121,761.169,16,4.012,0.502,0.209,28.222,3.944,9,0,41.304,5.871,14.985,0.952
A0A0A0MS14,0.31,6,0.039,0.239,0.119,39,103.07,25.781,77.288,316.48,22,4.049,0.552,0.59,20.5,4.875,6,1,28,3.019,6.973,0.928
A0A0A0MS15,0.454,9,0.038,0.215,0.189,27,99.601,15.067,84.534,335.301,22,4.15,0.683,0.852,48,4.333,3,0,22.222,3.065,8.032,0.992
A0A0A0MT36,0.583,5,0.171,0.004,0.003,91,243.18,83.773,159.407,963.778,22.839,4.063,0.486,0.341,28.95,3.85,8,-3,39.623,6.651,18.662,0.964
A0A0A0MT70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0MT76,0.412,3,0.21,0.027,0,20,121.566,12.88,108.687,451.474,16.778,4.062,0.593,0.9,70.833,4.833,2,0,15.789,3.643,9.314,0.79
A0A0A0MT82,0.494,2,0.151,0.087,0,26,169.809,33.525,136.284,484.789,17.3,4.031,0.533,0.769,41.857,3.571,2,0,29.167,4.157,10.891,0.477
A0A0A0MT86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0MT87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0MT93,0.072,1,0.42,0,0,24,96.185,23.727,72.458,337.9,5.143,3.882,0.447,0.292,49.429,3.857,3,0,35,3.885,8.307,0.299
A0A0A0MT94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0MT99,0.868,4,-0.054,0.061,0.004,73,328.351,51.607,276.744,863.956,27.127,3.867,0.505,0.753,45.385,4.615,6,0,29.167,7.501,17.166,0.612
A0A0A0MTA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A6YYC5,0.307,4,0.096,0.013,0.001,97,251.538,86.093,165.445,850.146,21.742,4.109,0.443,0.32,28.5,3.9,9,-3,41.176,6.385,16.66,0.949
A0A0A6YYD4,0.658,7,0.263,0.044,0.01,97,214.637,82.768,131.869,758.744,23.875,4.004,0.515,0.33,28.05,4.4,10,0,35.714,6.684,19.516,0.98
A0A0A6YYG2,0.629,5,0.072,0.032,0.001,128,315.288,78.593,236.695,1249.597,26.264,3.938,0.462,0.414,45.417,4.708,10,2,31.081,7.595,19.837,0.978
A0A0A6YYG3,0.587,7,0.052,0.013,0.001,112,280.376,56.964,223.411,1039.069,31.56,4.02,0.46,0.446,48.45,4.45,8,2,27.119,6.724,16.282,0.961
A0A0A6YYJ7,0.407,6,0.096,0.011,0.009,99,267.035,97.967,169.068,957.549,19.933,4.065,0.481,0.303,38.579,4.316,10,-2,34.426,6.95,20.068,0.97
A0A0A6YYK1,0.129,5,0.122,0.002,0.002,145,319.576,115.487,204.089,1328.299,24.667,4.044,0.502,0.29,30.083,4.292,14,0,38.961,8.012,19.465,0.933
A0A0A6YYK4,0.951,10,0.068,0.008,0.004,146,346.071,132.321,213.75,1155.942,33.449,3.958,0.511,0.473,30.423,4.538,16,3,35.294,8.851,29.514,0.757
A0A0A6YYK6,0.854,12,0.103,0.603,0.07,101,271.375,107.633,163.742,1009.873,16.071,3.974,0.492,0.277,28,4.263,11,-1,36.842,7.043,22.545,0.946
A0A0A6YYK7,0.14,7,0.231,0.023,0.003,95,206.197,91.472,114.725,771.394,21.259,4.009,0.468,0.284,29.158,3.789,11,-3,39.583,6.057,14.601,0.974
A0A0A6YYL3,0.215,45,0.22,0.098,0.033,98,224.42,101.005,123.416,731.341,21.579,3.777,0.483,0.388,21.591,4.136,15,1,41.27,6.895,16.877,0.703
A0A0B4J1T7,0.598,9,-0.073,0.053,0.047,46,211.448,47.211,164.237,568.025,32.057,3.876,0.485,0.761,38,4.3,6,1,28.125,4.674,13.77,0.721
A0A0B4J1U3,0.152,6,0.141,0.015,0.001,97,250.575,122.567,128.009,950.511,17.083,3.987,0.466,0.247,13.45,3.8,11,-4,42.308,6.724,21.257,0.979
A0A0B4J1U4,0.37,4,0.166,0.142,0.024,133,293.316,109.599,183.718,1136.383,17.889,4.004,0.46,0.271,29.148,3.926,15,-2,40,8.095,20.714,0.833
A0A0B4J1U6,0.287,8,-0.03,0.268,0.066,30,119.199,22.589,96.61,389.578,16,3.973,0.556,0.567,29.286,3.429,4,0,43.478,3.697,10.109,0.889
A0A0B4J1U7,0.312,6,0.09,0.221,0.014,21,115.802,32.476,83.326,316.477,12,3.797,0.623,0.619,9.857,2.714,3,0,52.632,4.307,10.825,0.932
A0A0B4J1V0,0.656,6,0.406,0.368,0.015,84,170.754,54.821,115.932,667.079,18.32,3.912,0.504,0.298,29.526,3.895,8,0,42,6.654,16.207,0.975
